mode,round,experiment_id,arch_name,model_file_copied,config_copied
Hybrid,r000,r000_full_cno_lrbasis_nc16_lr0.0005_masked_l1_gradient,cno_lrbasis,yes,yes
Hybrid,r000,r000_full_dilated_unet_nc16_lr0.001_masked_l1_gradient,dilated_unet,yes,yes
Hybrid,r000,r000_full_fno2d_lora_nc16_lr0.0005_masked_l1_gradient,fno2d_lora,yes,yes
Hybrid,r000,r000_full_fourier_unet_nc24_lr0.0005_masked_l1,fourier_unet,yes,yes
Hybrid,r000,r000_full_fourier_unet_nc24_lr0.0005_masked_l1_gradient,fourier_unet,yes,yes
Hybrid,r000,r000_full_fourier_unet_wtconv_nc16_lr0.0005_masked_l1,fourier_unet_wtconv,yes,yes
Hybrid,r000,r000_full_unet_sdf_7level_nc32_lr0.0005_masked_l1,unet_sdf_7level,yes,yes
Hybrid,r000,r000_full_unet_sdf_7level_nc32_lr0.001_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r000,r000_full_unet_v2_baseline_nc16_lr0.001_masked_l1_gradient,unet_v2_baseline,yes,yes
Hybrid,r000,r000_full_unet_v3_gausres_nc16_lr0.0005_masked_l1,unet_v3_gausres,yes,yes
Hybrid,r000,r000_full_unet_v3_geomtok_nc16_lr0.0005_masked_l1_gradient,unet_v3_geomtok,yes,yes
Hybrid,r000,r000_full_unet_v3_pointrefine_nc16_lr0.0005_masked_l1_gradient,unet_v3_pointrefine,yes,yes
Hybrid,r001,r001_full_boundary_gated_multiscale_unet_nc16_lr0.0005_masked_l1,boundary_gated_multiscale_unet,yes,yes
Hybrid,r001,r001_full_coord_field_unet_nc16_lr0.0005_masked_l1,coord_field_unet,yes,yes
Hybrid,r001,r001_full_fgmoe_decoder_unet_nc16_lr0.0005_masked_l1,fgmoe_decoder_unet,yes,yes
Hybrid,r001,r001_full_fourier_unet_nc24_lr0.0005_masked_l1,fourier_unet,yes,yes
Hybrid,r001,r001_full_multigrid_spectral_unet_nc24_lr0.0005_masked_l1,multigrid_spectral_unet,yes,yes
Hybrid,r001,r001_full_roughness_gated_ssm_unet_nc16_lr0.0005_masked_l1,roughness_gated_ssm_unet,yes,yes
Hybrid,r001,r001_full_separable_fourier_unet_nc24_lr0.0005_masked_l1,separable_fourier_unet,yes,yes
Hybrid,r001,r001_full_unet_sdf_7level_nc32_lr0.0005_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r001,r001_full_unet_sdf_7level_nc32_lr0.0005_masked_l1_gradient_retry1,unet_sdf_7level,yes,yes
Hybrid,r001,r001_full_unet_v3_gausres_nc16_lr0.0005_masked_l1,unet_v3_gausres,yes,yes
Hybrid,r001,r001_full_unet_v3_gausres_nc24_lr0.0005_masked_l1,unet_v3_gausres,yes,yes
Hybrid,r001,r001_full_unet_v3_geomtok_nc16_lr0.0005_masked_l1,unet_v3_geomtok,yes,yes
Hybrid,r001,r001_full_unet_v3_pointrefine_nc16_lr0.0005_masked_l1,unet_v3_pointrefine,yes,yes
Hybrid,r002,r002_full_adaptive_afno_unet_nc16_lr0.0005_masked_l1,adaptive_afno_unet,yes,yes
Hybrid,r002,r002_full_attn_ssm_neighbor_unet_nc16_lr0.0003_masked_l1,attn_ssm_neighbor_unet,yes,yes
Hybrid,r002,r002_full_boundary_gated_multiscale_unet_nc24_lr0.0005_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r002,r002_full_boundary_token_film_unet_nc16_lr0.0005_masked_l1,boundary_token_film_unet,yes,yes
Hybrid,r002,r002_full_cnn_deeponet_lowrank_nc16_lr0.0005_masked_l1,cnn_deeponet_lowrank,yes,yes
Hybrid,r002,r002_full_crossaxis_attn_unet_nc16_lr0.0005_masked_l1,crossaxis_attn_unet,yes,yes
Hybrid,r002,r002_full_hypernet_adapter_unet_nc16_lr0.0003_masked_l1,hypernet_adapter_unet,yes,yes
Hybrid,r002,r002_full_separable_fourier_unet_nc24_lr0.0005_masked_l1,separable_fourier_unet,yes,yes
Hybrid,r002,r002_full_unet_sdf_7level_nc24_lr0.0005_masked_l1,unet_sdf_7level,yes,yes
Hybrid,r002,r002_full_unet_sdf_7level_nc32_lr0.0005_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r002,r002_full_unet_sdf_7level_nc32_lr0.0005_masked_l1_gradient_retry3,unet_sdf_7level,yes,yes
Hybrid,r002,r002_full_unet_v3_gausres_nc32_lr0.0005_masked_l1_gradient,unet_v3_gausres,yes,yes
Hybrid,r002,r002_full_unet_v3_geomtok_nc24_lr0.0005_masked_l1,unet_v3_geomtok,yes,yes
Hybrid,r003,r003_full_attn_ssm_skip_unet_nc16_lr0.0005_masked_l1,attn_ssm_skip_unet,yes,yes
Hybrid,r003,r003_full_boundary_gated_multiscale_unet_nc24_lr0.0005_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r003,r003_full_boundary_gated_multiscale_unet_nc32_lr0.0005_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r003,r003_full_boundary_token_mixer_unet_nc16_lr0.0005_masked_l1,boundary_token_mixer_unet,yes,yes
Hybrid,r003,r003_full_geo_gate_conv_unet_nc16_lr0.0005_masked_l1,geo_gate_conv_unet,yes,yes
Hybrid,r003,r003_full_liif_head_unet_nc16_lr0.0005_masked_l1,liif_head_unet,yes,yes
Hybrid,r003,r003_full_mean_residual_corrector_unet_nc16_lr0.0005_masked_l1,mean_residual_corrector_unet,yes,yes
Hybrid,r003,r003_full_reduced_kv_context_unet_nc16_lr0.0005_masked_l1,reduced_kv_context_unet,yes,yes
Hybrid,r003,r003_full_separable_fourier_unet_nc24_lr0.0005_masked_l1_gradient,separable_fourier_unet,yes,yes
Hybrid,r003,r003_full_unet_sdf_7level_nc24_lr0.0005_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r003,r003_full_unet_v3_gausres_nc24_lr0.0005_masked_l1_gradient,unet_v3_gausres,yes,yes
Hybrid,r003,r003_full_unet_v3_geomtok_nc24_lr0.0005_masked_l1_gradient,unet_v3_geomtok,yes,yes
Hybrid,r004,r004_full_boundary_gated_multiscale_unet_nc24_lr0.0005_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r004,r004_full_coord_field_unet_nc24_lr0.0005_masked_l1_gradient,coord_field_unet,yes,yes
Hybrid,r004,r004_full_derived_feature_aggregate_unet_nc16_lr0.0005_masked_l1,derived_feature_aggregate_unet,yes,yes
Hybrid,r004,r004_full_hrnet_nc24_lr0.0005_masked_l1,hrnet,yes,yes
Hybrid,r004,r004_full_hydra_lora_unet_nc16_lr0.0005_masked_l1,hydra_lora_unet,yes,yes
Hybrid,r004,r004_full_mean_residual_corrector_unet_nc24_lr0.0005_masked_l1_gradient,mean_residual_corrector_unet,yes,yes
Hybrid,r004,r004_full_tiled_spectral_mixer_unet_nc16_lr0.0005_masked_l1,tiled_spectral_mixer_unet,yes,yes
Hybrid,r004,r004_full_transolver_lite_nc24_lr0.0005_masked_l1,transolver_lite,yes,yes
Hybrid,r004,r004_full_unet_sdf_7level_nc24_lr0.0005_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r004,r004_full_unet_v3_geomtok_nc24_lr0.0005_masked_l1_gradient,unet_v3_geomtok,yes,yes
Hybrid,r005,r005_full_beno_multitoken_film_unet_nc24_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,beno_multitoken_film_unet,yes,yes
Hybrid,r005,r005_full_boundary_gated_multiscale_unet_nc24_d6_height_sdf_normal_flip_rot_lr0.00035_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r005,r005_full_boundary_gated_multiscale_unet_nc28_d6_height_sdf_normal_flip_rot_lr0.0005_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r005,r005_full_coarse_grid_mp_unet_nc24_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,coarse_grid_mp_unet,yes,yes
Hybrid,r005,r005_full_coarse_prior_adain_unet_nc24_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,coarse_prior_adain_unet,yes,yes
Hybrid,r005,r005_full_derived_feature_aggregate_unet_nc24_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,derived_feature_aggregate_unet,yes,yes
Hybrid,r005,r005_full_mean_residual_corrector_unet_nc28_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,mean_residual_corrector_unet,yes,yes
Hybrid,r005,r005_full_msca_unet_nc16_d6_height_none_lr0.0005_masked_l1,msca_unet,yes,yes
Hybrid,r005,r005_full_squeeze_axial_detail_unet_nc16_d6_height_none_lr0.0005_masked_l1,squeeze_axial_detail_unet,yes,yes
Hybrid,r005,r005_full_unet_sdf_7level_nc24_d7_height_sdf_normal_none_lr0.0005_masked_l1_gradient,unet_sdf_7level,yes,yes
Hybrid,r005,r005_full_unet_v3_geomtok_nc24_d6_height_sdf_normal_none_lr0.0005_masked_l1_gradient,unet_v3_geomtok,yes,yes
Hybrid,r006,r006_full_boundary_gated_multiscale_unet_nc24_d6_height_sdf_normal_flip_rot_lr0.00045_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
Hybrid,r006,r006_full_boundary_gated_multiscale_unet_nc28_d6_height_sdf_normal_flip_rot_lr0.00035_masked_l1_gradient,boundary_gated_multiscale_unet,yes,yes
